[0000.00-0002.28] 好的 各位朋友们 头子杀回来了
[0002.28-0004.80] 停耕这段时间 头子并没有闲着
[0004.80-0006.96] 我给大家做了一套硬核的付费课程
[1054.52-1056.72] 比别人多N倍的学习时间
[1056.72-1058.56] 梦境模拟训练场
[1058.56-1060.68] 进入特殊信息流或知识海洋
[1060.68-1062.20] 加入大佬聊天群
[1062.20-1064.16] 或者秘密节设或取内部信息
[1064.16-1066.04] 那么除了经历可以提升认知
[1066.04-1067.80] 天赋是不是也可以提升认知
[1067.80-1069.24] 靠提升角色的天赋
[1069.24-1071.68] 是不是也能间接提升角色的认知呢
[1071.68-1072.60] 当然是可以的
[1072.60-1073.56] 操作方式
[1073.56-1075.44] 提升角色天赋或潜力
[1075.44-1076.80] 比如天赋升级系统
[1076.80-1077.68] 洗髓发毛
[1077.68-1078.88] 改善根古物性
[1078.88-1080.00] 绑定物性
[1080.00-1081.92] 或者赋予角色致力光环
[1082.00-1082.56] 举个例子
[1082.56-1084.12] 比如获得道具黄粱枕
[1084.12-1084.76] 入睡后
[1084.76-1086.52] 可进入梦境图书馆
[1086.52-1089.12] 与现实的时间流速为1比100
[1089.12-1090.56] 可约度馆藏点击
[1090.56-1092.24] 或者寄货添到重新系统
[1092.24-1093.00] 系统奖励
[1093.00-1093.60] 天赋
[1093.60-1094.88] 修炼或学习时
[1094.88-1097.04] 物性随时间缓慢增长
[1097.04-1097.28] 好
[1097.28-1099.96] 我们来看依靠自己间接获得的
[1099.96-1100.84] 思考方向
[1101.84-1104.16] 在简单付出与认知增长之间
[1104.16-1105.00] 建立联系
[1105.00-1106.04] 指的是做点小事
[1106.04-1106.80] 长大知识
[1106.80-1108.16] 操作方式是主角
[1108.16-1110.64] 完成一些相对简单的任务或行为
[1110.64-1112.20] 就能直接获得认知提升
[1112.20-1114.32] 金手指形式是任务奖励
[1114.32-1116.40] 认知或特定行为出发感悟
[1116.40-1117.60] 如观想顿悟
[1117.60-1119.64] 熟练度或者练构次数
[1119.64-1122.04] 自动领悟更深层无学真地
[1122.04-1122.48] 例子
[1122.48-1123.04] 有系统
[1123.04-1123.76] 每日任务
[1123.76-1124.84] 陈练一小时
[1124.84-1125.80] 完成奖励
[1125.80-1126.68] 无道感悟
[1126.68-1127.60] 增加一点
[1127.60-1128.32] 随机任务
[1128.32-1130.32] 观摩高手对决时长
[1130.32-1132.52] 可获得越接招式解析技能
[1132.52-1133.92] 或者断造数熟练度
[1133.92-1135.28] 达到1000自动领悟
[1135.28-1136.36] 千锤百炼
[1136.36-1137.88] 奥义提升材料特性
[1137.88-1139.04] 理解程度
[1139.04-1142.12] 下面是依靠自己间接获得的思考方向
[1142.12-1144.00] 3.在简单付出获得的结果
[1144.00-1145.92] 与解锁高认知门槛能力之间
[1145.92-1147.08] 建立联系指的是
[1147.08-1148.04] 达成小目标
[1148.04-1149.04] 解锁大神通
[1149.04-1149.92] 核心逻辑
[1149.92-1151.44] 主角达成某个明确的
[1151.44-1153.00] 相对容易实现的目标
[1153.00-1154.84] 金手指变直接赋予其一项
[1154.84-1155.64] 本应需要
[1155.64-1156.48] 极深奥
[1156.48-1157.64] 极复杂认知
[1157.64-1158.56] 原理法则
[1158.56-1159.04] 经验
[1159.04-1160.12] 作为前置条件
[1160.12-1162.00] 才能理解或施展的能力
[1162.00-1163.04] 省去了主角
[1163.04-1163.88] 从零开始
[1163.88-1164.52] 学习
[1164.52-1165.04] 理解
[1165.04-1165.60] 实践
[1165.60-1166.52] 到精通的
[1166.52-1168.96] 漫长且艰难的认知纪类过程
[1168.96-1169.80] 操作方式
[1169.80-1171.76] 金手指将主角完成的小目标
[1171.76-1173.08] 如收集关键物品
[1173.08-1174.36] 达成特定成就
[1174.36-1176.24] 完成前置任务链作为钥匙
[1176.24-1177.48] 绕过认知壁垒
[1177.48-1179.32] 直接获得该高瞒槛能力
[1179.32-1180.36] 主角获得的是
[1180.36-1181.36] 能力结构本身
[1181.36-1182.64] 可能附带基础认知
[1182.64-1184.60] 但核心在于能力可使用
[1184.60-1185.64] 无需经历
[1185.64-1187.40] 认知到能力的转化挣扎
[1187.40-1188.44] 就能直接获得
[1188.44-1190.84] 代表复杂认知成果的东西
[1190.84-1191.80] 金手指行
[1191.80-1192.36] 成就
[1192.36-1193.00] 解锁
[1193.00-1194.44] 收集兑换任务�
[1194.44-1195.36] 终极大奖
[1195.36-1196.96] 条件触发是传承
[1196.96-1198.80] 例子1达成成就
[1198.80-1199.76] 万人敬仰
[1199.76-1202.00] 即收集1万点信仰值
[1202.00-1202.84] 成就奖励
[1202.84-1204.64] 直接掌握神德凝聚神通
[1204.64-1206.52] 去配合配决获得该神通的
[1206.52-1207.56] 复杂与不易
[1207.56-1208.20] 配决表示
[1208.20-1210.40] 正常途径需精通神学原理
[1210.40-1211.20] 信仰力学
[1211.20-1212.68] 灵魂契约等高深知识
[1212.68-1214.00] 并经历漫长仪式
[1214.00-1215.60] 与感悟才能触及皮毛
[1215.60-1216.24] 非绝世
[1216.24-1218.36] 天才或古老传承者不可的
[1218.36-1219.16] 例子2道具
[1219.16-1219.96] 收集任务
[1219.96-1220.80] 五行灵珠
[1220.80-1221.60] 任务奖励
[1224.88-1225.88] 配决表示
[1225.88-1226.88] 去彻底领悟
[1226.88-1227.68] 五行深刻
[1227.68-1229.56] 本质空间折叠理论
[1229.56-1230.48] 能量长化法则
[1230.48-1231.92] 非大能者必胜难成
[1231.92-1233.16] 往往被视为传说中的
[1233.16-1233.76] 顿数
[1233.76-1234.80] 例子3完成
[1234.80-1235.60] 复兴失落
[1235.60-1237.16] 浓液任务奖励
[1237.16-1239.16] 直接获得生命共鸣
[1239.16-1241.08] 宗师及灵质培育能力
[1241.08-1242.12] 配决表示
[1242.12-1243.36] 去掌握古老职务
[1243.36-1244.32] 语言生命能量
[1244.32-1245.36] 徒朴解析
[1245.36-1246.76] 生态循环密法等
[1246.76-1248.16] 近乎失传的知识
[1248.16-1249.40] 并积累数十年与
[1249.40-1250.68] 灵职沟通的经验
[1250.72-1252.72] 当士林之大是一难达此境
[1252.72-1253.44] 那么到这里
[1253.44-1254.64] 依靠自己间接获得的
[1254.64-1255.28] 思考角度
[1255.28-1256.24] 我们就讲完了
[1256.88-1258.12] 下面我们进入第二种
[1258.12-1259.40] 思考角度
[1259.40-1260.40] 依靠他人
[1260.40-1262.44] 间接获得指的是主角的
[1262.44-1263.44] 认知提升来源于
[1263.44-1265.04] 他人的行为和状态
[1265.04-1266.20] 这招往往能制造
[1266.20-1267.56] 强烈的对比爽感
[1267.56-1268.36] 思考方向
[1268.36-1268.72] 第一个
[1268.72-1270.08] 只给其他人之欲
[1270.08-1270.96] 寂物我知的
[1270.96-1272.00] 核心逻辑是
[1272.00-1273.12] 别人拼命追求
[1273.12-1274.76] 渴望得到的认知成果
[1274.76-1275.64] 如秘密
[1275.64-1276.96] 功法技术答案
[1276.96-1278.48] 主角能轻松获取
[1278.48-1280.36] 甚至以此为起点超越
[1280.40-1282.36] 操作方式和金手指形式
[1282.36-1282.92] 第一种
[1282.92-1283.56] 亏式
[1283.56-1284.16] 窃取
[1284.16-1284.80] 复制
[1284.80-1285.84] 系统能复制他人
[1285.84-1287.16] 刚领悟的感悟
[1287.16-1288.96] 读取他人心声或记忆
[1288.96-1289.76] 窃听机密
[1289.76-1290.56] 谈话扫描
[1290.56-1292.24] 解析他人技能或物品
[1292.24-1293.56] 或者激活学习光环
[1293.56-1294.60] 周围人学习时
[1294.60-1296.00] 主角同步理解
[1296.00-1296.56] 第二种
[1296.56-1297.40] 作响其成
[1297.40-1298.92] 他人付出巨大代价
[1298.92-1299.96] 时间资源
[1299.96-1300.52] 风险
[1300.52-1301.12] 去探索
[1301.12-1302.40] 争夺的认知成果
[1302.40-1303.60] 如藏宝图密点
[1303.60-1304.52] 研究成果
[1304.52-1305.52] 主角因金手指
[1305.52-1306.32] 能轻易定位
[1306.32-1307.48] 获得或理解
[1307.48-1308.32] 爽点来源
[1308.32-1309.92] 是强烈的对比与反差
[1309.92-1311.08] 别人千辛万苦
[1311.08-1312.08] 我托手可得
[1313.04-1313.84] 信息碾压
[1313.84-1315.88] 我知道你梦寐以求的答案
[1315.88-1316.88] 满足了读者
[1316.88-1319.08] 不劳而获或先知先觉的快感
[1319.08-1319.80] 举起个例子
[1319.80-1321.20] 反派大佬耗尽心血
[1321.20-1322.36] 破解上股精致
[1322.36-1323.52] 主角靠着系统
[1323.52-1324.40] 一键破解
[1324.40-1325.48] 功能瞬间完成
[1325.48-1326.76] 并拿走核心传承
[1326.76-1327.80] 各大势力为
[1327.80-1328.96] 争夺一张记载着
[1328.96-1330.28] 失落科技的地图
[1330.28-1331.32] 打得头破血流
[1331.32-1332.72] 主角的寻宝雷达
[1332.72-1333.56] 直接标注了
[1333.56-1335.48] 完整科技术的埋藏地点
[1335.48-1336.44] 天才链单时
[1336.44-1338.72] 闭关十年才改良出一张单方
[1338.72-1340.28] 主角的单道解析镜
[1340.28-1342.04] 扫一眼单炉就能复制
[1342.04-1343.24] 并优化该单方
[1344.36-1345.44] 我们再来看看
[1345.44-1347.16] 反转的思考方向
[1347.16-1348.00] 他人之惧
[1348.00-1348.68] 极我之机
[1348.68-1350.16] 就是别人惧怕得到的认知
[1350.16-1351.16] 我能直接获得
[1351.16-1352.76] 并且转化成有力认知
[1352.76-1353.44] 核心逻辑
[1353.44-1354.40] 别人未去逃避
[1354.40-1356.72] 或无法承受的认知状态或后果
[1356.72-1358.88] 主角却能无伤承受免疫
[1358.88-1360.88] 甚至将其转化为正向收益
[1360.88-1361.68] 操作方式
[1361.68-1362.88] 第一种负面状态
[1362.88-1363.84] 免疫和转化
[1363.84-1364.52] 今手指
[1364.52-1365.80] 让主角能免疫他人
[1365.80-1367.24] 认知中的剧毒知识
[1367.24-1368.92] 比如看了为疯的邪点
[1368.92-1371.28] 承受他人无法忍受的信息洪流
[1371.28-1372.84] 比如海量数据冲击
[1372.84-1374.80] 或将他人避之不及的诅咒
[1374.80-1375.40] 污染
[1375.40-1376.20] 知识反噬
[1376.20-1377.72] 转化为提升自身认知的
[1377.72-1379.00] 养料或特殊能力
[1379.00-1380.16] 第二种危险认知
[1380.16-1382.24] 利用主角能安全的探索
[1382.24-1383.28] 和使用被公认为
[1383.28-1384.92] 禁忌极度危险的知识
[1384.92-1385.84] 或技术领域
[1385.84-1387.84] 而他人尝试则非死及伤
[1387.88-1388.88] 爽点来源
[1388.88-1389.68] 高风险
[1389.68-1390.96] 高回报的刺激感
[1390.96-1392.32] 主角化险为疑
[1392.32-1394.00] 便废为宝的智慧与能力
[1394.00-1394.92] 带来的优越感
[1394.92-1396.60] 以及突破常规认知
[1396.60-1397.84] 限制的兴起感
[1397.84-1398.84] 咱们举几个例子
[1398.84-1400.76] 古籍记载修炼某摩宫会
[1400.76-1401.56] 侵蚀神智
[1401.56-1403.32] 主角绑定新制宝雷系统
[1403.32-1404.60] 免疫精神侵蚀
[1404.60-1406.00] 反而吸收摩宫中的
[1406.00-1407.48] 精粹提升物性
[1407.48-1408.44] 科学家们对于
[1408.44-1410.04] 一种运寒狂暴能量的
[1410.04-1411.52] 外星经体束手无策
[1411.52-1412.68] 靠近就会被信息流
[1412.68-1413.76] 冲击成白痴
[1413.76-1415.76] 主角的能量童话体制
[1415.76-1416.72] 能安全吸收
[1416.72-1419.40] 并解析精体中的科技知识
[1419.40-1420.68] 预言系法术会遭受
[1420.68-1421.64] 严重反噬
[1421.64-1422.60] 说明大检
[1422.60-1424.00] 主角拥有命运天平
[1424.00-1425.92] 经手指能将反噬转移
[1425.92-1427.52] 或抵消甚至可以贷款
[1427.52-1428.28] 未来反噬
[1428.28-1429.92] 来增强当前预言效果
[1430.76-1432.68] 最后一个对比的思考方向
[1433.60-1434.40] 他人之行嫌
[1434.40-1436.28] 我只能在别人努力挣扎时
[1436.28-1437.40] 实实展现自己的
[1437.40-1439.08] 轻松协议和认知碾压
[1439.08-1440.92] 突出优越感于实实打脸
[1440.92-1441.92] 核心逻辑
[1441.92-1443.16] 通过实实对比
[1443.16-1444.28] 主角与他人
[1444.28-1445.36] 尤其是权威
[1445.36-1447.00] 专家天才在处理相同
[1447.00-1448.72] 认知挑战时的表现差异
[1448.72-1450.76] 凸显主角因经手指带来的
[1450.76-1451.60] 认知优势
[1451.60-1452.48] 操作方式
[1452.48-1454.60] 第一种同步解析或推演
[1454.60-1456.28] 在他人进行复杂思考
[1456.28-1457.24] 破解难题
[1457.24-1458.24] 研究技术时
[1458.24-1460.32] 主角的经手指能同步
[1460.32-1461.72] 甚至更快地给出
[1461.72-1462.56] 更优解
[1462.56-1464.92] 更深入的解析或预测结果
[1464.92-1466.20] 主角可能沉默不语
[1466.20-1468.04] 但读者通过经手指界面
[1468.04-1469.28] 或主角内心活动
[1469.28-1470.80] 能看到碾压性的对比
[1470.84-1472.84] 第二种错误提示或优化建议
[1472.84-1474.24] 经手指能实施指数
[1474.24-1476.00] 他人认知过程中的错误
[1476.00-1478.00] 疏漏或可优化之处
[1478.00-1479.00] 而主角则能
[1479.00-1481.88] 聚此做出完美应对或进行打脸
[1481.88-1484.00] 第三种认知效率可实化
[1484.00-1485.48] 通过系统界面的方式
[1485.48-1488.40] 直观展示主角与他人理解速度
[1488.40-1490.36] 知识掌握深度推演效率
[1490.36-1492.08] 等方面的巨大差距
[1492.08-1493.16] 爽点来源
[1493.16-1494.64] 实实打脸的快感
[1494.64-1496.20] 半猪吃虎的期待感
[1496.20-1497.32] 以及清晰展现
[1497.32-1499.16] 主角认知碾压的优越感
[1499.20-1500.80] 让读者直观感受到
[1500.80-1502.72] 今手指带来的巨大红沟
[1502.72-1503.80] 我们举几个例子
[1503.80-1505.76] 学院大笔天才学员苦思明想
[1505.76-1507.64] 一道千古难题抓耳闹塞
[1507.64-1508.84] 主角的思维加速器
[1508.84-1510.44] 瞬间完成百万字推演
[1510.44-1511.32] 得出完美答案
[1511.32-1513.00] 并发现题目本身的漏洞
[1513.00-1513.88] 轻松写意
[1513.88-1516.12] 老教授在台上讲解前沿理论
[1516.12-1518.88] 讲的满头大汗学生听的云理物理
[1518.88-1520.20] 主角的知识共鸣
[1520.20-1521.52] 系统自动生成
[1521.52-1523.76] 更简洁更本质的解析模型
[1523.76-1525.08] 并以可视化形式
[1525.08-1526.72] 呈现给主角和读者
[1526.80-1527.92] 主角还能举手
[1527.92-1530.32] 指出教授推导中的一处微小瑕疵
[1530.32-1531.64] 多位健保大师
[1531.64-1533.40] 对见古物争论不休
[1533.40-1534.28] 各知一词
[1534.28-1535.76] 主角的文物通鉴
[1535.76-1537.64] 掩扫过立刻在视野中
[1537.64-1539.56] 标注出详细的年代
[1539.56-1540.84] 工艺真伟分析
[1540.84-1542.64] 以及市场固执清晰明了
[1542.64-1544.20] 远超大师水平
[1544.20-1545.00] 讲到这里
[1545.00-1547.56] 头子已经把以认知为中心的
[1547.56-1549.00] 今手指思考方式
[1549.00-1550.20] 完完整整
[1550.20-1552.44] 明明白白的交给各位了
[1552.44-1554.36] 头子希望各位学的不是例子
[1554.36-1556.08] 而是头子的思考方式
[1556.08-1557.16] 这套思考方式
[1557.16-1557.84] 你学下来
[1557.84-1559.60] 完全可以创造自己的金手指
[1559.60-1560.88] 而且跟别人的都不同
[1560.88-1563.04] 这套思考方式和头子之前讲的
[1563.04-1564.24] 以能力为核心的
[1564.24-1565.36] 脑洞思考方式
[1565.36-1567.44] 在底层逻辑上是一脉相承
[1567.44-1568.56] 可以相互转化的
[1568.56-1569.48] 如果你看过
[1569.48-1571.44] 头子之前讲的脑洞文视频
[1571.44-1572.12] 你就会知道
[1572.12-1573.84] 我们还可以利用写作方法
[1573.84-1574.88] 来起书名
[1574.88-1576.64] 来丰富金手指的设定
[1576.64-1578.64] 这部分头子就不再重复了
[1578.64-1579.92] 有兴趣的可以回看一下
[1579.92-1581.00] 其实很简单
[1581.00-1582.40] 既然方法是相同的
[1582.40-1584.16] 为什么头子要把认知拿出来
[1584.16-1585.84] 单独给大家再讲一遍呢
[1586.84-1588.68] 各位有没有发现
[1588.68-1590.76] 头子给你提供的方法
[1590.76-1593.40] 是可以无限套用下去的
[1593.40-1594.92] 我们可以直接提升天赋
[1594.92-1596.56] 代表着间接提升认知
[1596.56-1598.04] 接下来直接提升认知
[1598.04-1599.88] 代表着间接提升能力
[1599.88-1600.76] 直接提升能力
[1600.76-1602.08] 代表着间接提升能力
[1602.08-1603.00] 产生的结果
[1603.00-1604.08] 那么如果我们知道了
[1604.08-1605.08] 天赋从哪来
[1605.08-1606.88] 我们是不是可以用相同的方法
[1606.88-1609.24] 继续得出一套金手指的设定方法
[1609.24-1610.56] 看出门道了吗
[1610.56-1612.40] 这个链条是可以无限向上
[1612.40-1614.00] 或者向下追问和拓展的
[1614.00-1615.32] 向上问我们推导一下
[1615.32-1616.36] 天赋从哪来
[1616.36-1618.76] 可以追溯到血统灵魂本质
[1618.76-1619.92] 前天造化等等
[1619.92-1621.88] 又可以针对血统设计套
[1621.88-1623.12] 金手指设定方法
[1623.12-1624.76] 如激活隐藏血脉
[1624.76-1626.04] 进化血脉污染
[1626.04-1627.12] 融合强大血统
[1627.12-1628.64] 再向上继续推导血统
[1628.64-1630.20] 或者灵魂本质从哪来
[1630.20-1631.60] 我们可以联系到前世
[1631.60-1633.04] 英国世界规则等等
[1633.04-1634.04] 又可以展开
[1634.04-1635.04] 向下问的
[1635.04-1636.68] 能力产生的结果带来了是
[1636.68-1638.32] 我们得出资源地位影响力
[1638.32-1639.36] 新的挑战等等
[1639.36-1640.28] 这些又可以作为
[1640.28-1641.76] 新的金手指中心节点
[1641.76-1643.12] 比如资源转化系统
[1643.12-1644.32] 势力经营系统
[1644.32-1645.92] 逻辑链条上的节点
[1645.92-1647.36] 距离能力越远
[1647.36-1649.76] 金手指开篇效果越不明显
[1649.76-1652.00] 但是可以作为系统辅助能力选项
[1652.00-1654.16] 或者作为发展阶段的金手指设定
[1654.16-1655.20] 有些同学可能会问
[1655.20-1657.00] 这样的逻辑链条有什么作用
[1657.00-1658.52] 写作的时候设定金手指
[1658.52-1660.40] 也只是选择一个而已
[1660.40-1660.96] 是的
[1660.96-1663.00] 如果你仅仅把这种逻辑链条
[1663.00-1664.48] 作为金手指的设定
[1664.48-1665.76] 它作用是有限的
[1665.76-1666.76] 但是这条逻辑线
[1666.76-1668.40] 绝不仅仅是用来设定
[1668.40-1669.44] 单一金手指的
[1669.44-1670.60] 它的真正威力
[1670.60-1673.72] 在于构建庞大的能力或者力量体系
[1673.72-1675.80] 当你的小说需要设定一个
[1675.80-1678.32] 复杂的世界观和力量层级时
[1678.32-1679.92] 如修仙的境界
[1679.92-1681.52] 异能的等级
[1681.52-1683.16] 科技的竖状图
[1683.16-1684.52] 这条逻辑线
[1684.52-1685.92] 可以帮助你
[1685.92-1688.72] 理清各个层级之间的关系
[1688.72-1690.16] 它还可以设计多层次
[1690.16-1691.28] 复合型金手指
[1691.28-1693.04] 我们可以让主角的金手指
[1693.04-1694.68] 在这个链条的不同节点上
[1694.68-1695.84] 形成组合效果
[1695.84-1697.96] 比如系统任务有提升物性的
[1697.96-1699.60] 为了增强角色的认知
[1699.60-1702.04] 有加速修炼的帮助角色获取能力
[1702.04-1704.40] 有转化资源的帮助角色解决困境
[1704.40-1706.36] 关于逻辑线的推理方法
[1706.36-1707.64] 能力系统的创造
[1707.64-1709.80] 投资会在后面给大家详细展开
[1709.80-1711.36] 还有干货别着急
[1712.00-1714.28] 我们再回到这条逻辑链条中
[1714.28-1717.68] 认知占据着一个极其特殊的位置
[1717.68-1719.40] 认知不仅是能力的源头
[1719.40-1721.68] 没有相应的认知能力无从弹起
[1721.68-1724.08] 认知也是主观与客观世界的桥梁
[1724.08-1725.96] 它是角色理解世界规则
[1725.96-1726.88] 运行逻辑
[1726.88-1728.20] 他人行为的基础
[1728.24-1730.60] 主角的认知水平直接决定了
[1730.60-1732.08] 他如何看待世界
[1732.08-1733.32] 如何解读信息
[1733.32-1734.48] 如何做出决策
[1734.48-1735.40] 最重要的是
[1735.40-1737.20] 认知驱动需求与行动
[1737.20-1738.48] 你知道的知识越多
[1738.48-1740.08] 你看到的可能性就越多
[1740.08-1742.76] 你产生的欲望和需求就越明确
[1742.76-1743.48] 越具体
[1743.48-1746.48] 认知能把客观信息转化为主观需求
[1746.48-1748.92] 进而成为角色行动的强烈动机
[1748.92-1750.24] 角色的行为动机
[1750.24-1752.64] 是推动情节发展的最根本印象
[1752.64-1754.12] 为什么主角要冒险
[1754.12-1755.20] 为什么要变强
[1755.20-1756.96] 为什么要去争夺某个东西
[1757.44-1759.68] 根源往往在于角色的认知
[1759.68-1763.28] 让角色产生了强烈的需求或欲望
[1763.28-1764.44] 或者能够靠认知
[1764.44-1766.44] 分辨出潜在的威胁和问题
[1766.44-1767.76] 有些复杂但不要紧
[1767.76-1769.36] 投资会在经手指的课程之后
[1769.36-1771.08] 把认知这个概念再次展开
[1771.08-1772.16] 给各位详细拆解
[1772.16-1774.40] 现在投资要给自己打个广告了
[1774.40-1776.72] 认知链接的主观与客观都是
[1776.72-1778.52] 投资付费课程的内容
[1778.52-1779.44] 这12节课
[1779.44-1780.84] 投资会带你了解
[1780.84-1782.80] 真正的角色行为动机是什么
[1782.80-1785.00] 本能需求与欲望的关系是什么
[1785.04-1787.08] 他们又是怎么驱动角色行动的
[1787.08-1787.76] 作为作者
[1787.76-1789.60] 我们要怎么利用这些知识
[1789.60-1791.44] 帮助我们进行小说创作
[1791.44-1792.40] 在这套课程里头
[1792.40-1794.12] 则会带你穿透表象
[1794.12-1794.96] 直达本质
[1794.96-1795.96] 系统拆解
[1795.96-1797.88] 驱动角色行为的五大本能
[1797.88-1799.08] 根源 生存本能
[1799.08-1800.60] 繁衍本能 社会本能
[1800.60-1802.24] 争议性本能和认知本能
[1802.24-1804.24] 投资会通过这五大本能
[1804.24-1806.12] 揭示本能如何生成
[1806.12-1808.32] 角色的具体需求与欲望
[1808.32-1809.32] 需求与欲望
[1809.32-1811.44] 如何驱动角色作出具体行动
[1811.44-1812.24] 角色的行动
[1812.24-1813.88] 如何自然的生成情节
[1813.92-1815.80] 情节如何有机的组合成
[1815.80-1817.20] 引人入圣的故事
[1817.20-1818.00] 不仅如此
[1818.00-1818.96] 头子还会传适
[1818.96-1820.36] 剧情的塑造公式
[1820.36-1821.44] 七大逻辑公式
[1821.44-1824.64] 为你展现角色动机的全部形态
[1824.64-1826.08] 深化角色过往
[1826.08-1827.56] 如何利用性格特征
[1827.56-1828.68] 深化角色经历
[1828.68-1830.04] 让角色丰富立体
[1830.04-1831.12] 剧情引擎搭建
[1831.12-1832.72] 揭示角色强弱动机
[1832.72-1833.72] 为什么强动机
[1833.72-1835.84] 是吸引读者的杀手剪
[1835.84-1837.00] 为什么弱动机是
[1837.00-1838.40] 浪费笔墨的大坑
[1838.40-1839.80] 终解卡文尴尬
[1839.80-1841.96] 梳理角色的无限可能
[1842.00-1844.80] 提供情节制造的底层思维
[1844.80-1846.68] 这不是零散的技巧拼凑
[1846.68-1848.16] 而是真正成体系
[1848.16-1849.28] 有思想深度
[1849.28-1851.20] 能指导你从零构建一部
[1851.20-1852.92] 完整网纹的实战指南
[1852.92-1854.92] 让你知其然更知其所以
[1855.68-1856.72] 好的广告时间结束
[1856.72-1858.00] 头子知道好东西
[1858.00-1859.12] 需要沉淀
[1859.12-1861.52] 听完认知金手指的设定方法
[1861.52-1862.92] 马上打开你的电脑
[1862.92-1865.00] 尝试用精力或天赋的视角
[1865.00-1866.04] 重新设计
[1866.04-1868.12] 或优化你主角的一个能力来源
[1868.12-1869.20] 把心得或问题
[1869.20-1870.96] 写在评论区投资会来看
[1870.96-1873.16] 下节课我们将继续深耕认知
[1873.16-1873.96] 这座富矿
[1873.96-1876.12] 结合今天讲的金手指设定方法
[1876.12-1876.84] 更进一步
[1876.84-1878.56] 如何将认知型金手指
[1878.56-1879.76] 与角色动机
[1879.76-1881.36] 剧情发展深度绑定
[1881.36-1884.04] 我们该如何让系统驱动情节
[1884.04-1885.16] 怎么回答金手指
[1885.16-1886.60] 必要性和唯一性的问题
[1886.60-1887.88] 如果时间来得及的话
[1887.88-1889.32] 我们还会把设定
[1889.32-1891.08] 小说能力框架的方法论
[1891.08-1891.80] 教给大家
